Id,Label,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles
0,0,2,7,0.24,0.274639,0,0,1,1
1,1,4,5,0.321951,0.37399,82.721429,0,0.166667,1
2,2,3,6,0.282051,0.332828,2.65119,0,0.666667,2
3,3,4,6,0.30137,0.355303,43.522655,0,0.5,3
4,4,5,6,0.312796,0.373737,66.067893,0,0.4,4
5,5,2,7,0.273859,0.31176,14.026407,0,0,0
6,6,4,6,0.318841,0.37399,72.695869,0,0.166667,1
7,7,11,5,0.375,0.468687,394.554762,0,0.109091,6
8,8,4,6,0.290749,0.343182,74.20267,0,0.166667,1
9,9,2,6,0.235714,0.270707,65,0,0,0
10,10,1,7,0.191304,0.212518,0,0,0,0
11,11,6,6,0.349206,0.414394,84.054113,0,0.133333,2
12,12,3,6,0.294643,0.340152,18.275,0,0,0
13,13,3,7,0.261905,0.30671,37.431646,0,0,0
14,14,4,6,0.283262,0.332576,0,0,1,6
15,15,8,5,0.381503,0.453788,400.379405,0,0.214286,6
16,16,4,6,0.283262,0.332576,0,0,1,6
17,17,5,5,0.34375,0.39697,135.476718,0,0.5,5
18,18,1,7,0.209524,0.236183,0,0,0,0
19,19,5,5,0.304147,0.361364,130.1875,0,0.5,5
20,20,6,5,0.338462,0.407323,129.632143,0,0.2,3
21,21,3,7,0.256809,0.302922,0,0,1,3
22,22,4,5,0.323529,0.37096,1.62619,0,0.833333,5
23,23,4,5,0.323529,0.37096,1.62619,0,0.833333,5
24,24,2,6,0.258824,0.292677,10.944048,0,0,0
25,25,2,6,0.249057,0.283333,12.221379,0,0,0
26,26,3,5,0.290749,0.336869,45.365823,0,0.333333,1
27,27,5,6,0.304147,0.364141,73.650072,0,0.3,3
28,28,2,6,0.308411,0.348485,46.364322,0,0,0
29,29,8,5,0.392857,0.463131,276.073898,0,0.178571,5
30,30,4,6,0.283262,0.332576,0,0,1,6
31,31,3,6,0.312796,0.362374,27.896465,0,0.333333,1
32,32,4,6,0.318841,0.369697,72.174192,0,0.166667,1
33,33,4,6,0.312796,0.367929,32.104203,0,0.5,3
34,34,1,7,0.234875,0.263528,0,0,0,0
35,35,3,5,0.289474,0.331566,0,0,1,3
36,36,9,5,0.377143,0.454293,175.269433,0,0.194444,7
37,37,1,7,0.219269,0.24347,0,0,0,0
38,38,4,6,0.295964,0.345707,5.057738,0,0.833333,5
39,39,2,7,0.282051,0.317569,24.016667,0,0,0
40,40,8,5,0.354839,0.432071,166.335771,0,0.25,7
41,41,3,6,0.297297,0.34596,0,0,1,3
42,42,4,5,0.331658,0.384848,40.576758,0,0.166667,1
43,43,3,6,0.279661,0.325505,90.133333,0,0,0
44,44,6,5,0.358696,0.42096,134.824211,0,0.266667,4
45,45,5,6,0.292035,0.350253,54.12619,0,0.6,6
46,46,6,5,0.320388,0.385606,120.276858,0,0.333333,5
47,47,6,5,0.368715,0.432828,235.365576,0,0.133333,2
48,48,5,6,0.309859,0.371465,92.081133,0,0.5,5
49,49,4,6,0.318841,0.368939,98.846465,0,0,0
50,50,5,5,0.320388,0.377525,90.934145,0,0.3,3
51,51,9,5,0.39759,0.471465,235.823862,0,0.222222,8
52,52,3,6,0.264,0.314899,77.733333,0,0,0
53,53,5,6,0.326733,0.385354,96.030628,0,0.5,5
54,54,8,5,0.364641,0.440404,251.749308,0,0.142857,4
55,55,7,6,0.325123,0.399747,130.981548,0,0.285714,6
56,56,4,6,0.318841,0.372222,141.796162,0,0,0
57,57,5,6,0.340206,0.399242,109.698485,0,0.3,3
58,58,2,7,0.24812,0.28272,7.040476,0,0,0
59,59,2,7,0.24812,0.284127,7.542857,0,0,0
60,60,5,6,0.305556,0.367677,107.21521,0,0.2,2
61,61,5,6,0.335025,0.39596,96.913384,0,0,0
62,62,5,5,0.356757,0.410859,105.570346,0,0.3,3
63,63,4,6,0.297297,0.350505,9.076082,0,0.833333,5
64,64,2,7,0.259843,0.296609,15.6,0,0,0
65,65,3,5,0.305556,0.348485,35.251732,0,0,0
66,66,5,5,0.352941,0.411869,99.206127,0,0.2,2
